"gene.id","age_baseMean","age_log2FoldChange","age_lfcSE","age_stat","age_pvalue","age_padj","id_baseMean","id_log2FoldChange","id_lfcSE","id_stat","id_pvalue","id_padj","age_direction","id_direction","same_direction","direction_class","rescue_fraction","rescue_interpretation","age_nominal","id_nominal","significance_class","limiting_pvalue","limiting_neg_log10_p","shared_effect_size","youth_shift_score"
"Kcnf1",67.1501514715996,1.90162715482149,0.350463477814512,5.42603516543302,5.76196117349312e-08,3.04888289621071e-06,55.2695684930223,1.38775902294491,0.358171052018427,3.87457058610509,0.00010681288059225,0.454097159691186,"Higher in young CD","Higher in old ID",TRUE,"Youth-like higher",0.729774508860115,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.00010681288059225,3.97137637246818,1.38775902294491,5.51131339440295
"Ttr",171.263184979689,-8.31841116409449,1.66001623707192,-5.01104204785806,5.4136083045896e-07,1.97824503466971e-05,218.665665796948,-2.73256062519861,1.23689702257902,-2.20920624378335,0.0271602988052192,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.328495498875243,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.0271602988052192,1.56606545645545,2.73256062519861,4.27936880279386
"Serpina1c",268.038200464933,-9.95803331219405,2.09082312291117,-4.76273349145331,1.90988008042246e-06,5.56125436435439e-05,334.34526038372,-2.59966873915206,1.23754332715985,-2.10066886718082,0.0356700440657896,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.26106246661865,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.0356700440657896,1.44769635414588,2.59966873915206,3.76353095565745
"Ahsg",419.044418891239,-9.20523020090152,1.63440674825064,-5.63215381406996,1.77972842525777e-08,1.12282610008891e-06,521.825772672719,-2.4314565170443,1.15197814990461,-2.11067937117179,0.034799880277113,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.264138589038889,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.034799880277113,1.45842225016487,2.4314565170443,3.5460902847658
"Gc",397.31789079687,-10.0304870511502,1.97011457436361,-5.09132168335452,3.55576175886131e-07,1.40733809238792e-05,498.956874339814,-2.46509348453306,1.24282502719099,-1.98345980375421,0.047316092729704,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.245760098384294,"Weak youth-like shift",TRUE,TRUE,"Nominal in both",0.047316092729704,1.32499112575143,2.46509348453306,3.26622699115397
"Cish",346.553413211971,3.93852333520026,0.480557228363469,8.19574257287285,2.49050829290171e-16,9.42753177643794e-14,90.8569490954497,1.58982504199954,0.608607378077241,2.61223425687385,0.00899525942180023,0.999946780809711,"Higher in young CD","Higher in old ID",TRUE,"Youth-like higher",0.403660180908565,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.00899525942180023,2.04598630715649,1.58982504199954,3.25276026670554
"Lep",699.727086335286,-2.56157129246761,0.759902209590592,-3.37092228465514,0.000749169888239227,0.00586828299798296,895.289371815496,-1.40598864895238,0.518843460880903,-2.70985134237841,0.00673133703789259,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.54887742265333,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.00673133703789259,2.171898663784,1.40598864895238,3.05366486795515
"F10",36.5239006440882,-7.1669296297796,1.5888568248416,-4.51074603936961,6.46000244382725e-06,0.000147858939656158,46.225873759526,-2.00283945490212,0.952470395074247,-2.10278394505479,0.0354846600838884,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.279455716514927,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.0354846600838884,1.44995935062669,2.00283945490212,2.90403579543938
"Gm12940",55.7325907976061,1.40516699562021,0.234310502712611,5.99702949442129,2.00959572173517e-09,1.71489373641481e-07,46.13801573573,0.98119457287716,0.303482736453361,3.23311495192066,0.00122448280519718,0.999946780809711,"Higher in young CD","Higher in old ID",TRUE,"Youth-like higher",0.698276130833889,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.00122448280519718,2.91204730907778,0.98119457287716,2.85728501562866
"Gm10032",12.8719707366135,2.21082948805693,0.819886145364188,2.69650792437149,0.00700707303643466,0.0312335203009918,8.51526159125313,1.75955117624158,0.796971924889137,2.20779568425367,0.0272585190594503,0.999946780809711,"Higher in young CD","Higher in old ID",TRUE,"Youth-like higher",0.795878282674811,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.0272585190594503,1.56449774284397,1.75955117624158,2.7528138436484
"Mup3",65.8374766619486,-4.30124166587738,0.872757895503963,-4.92833314718245,8.29341164235111e-07,2.76378411006838e-05,87.4183082720126,-1.55381913213193,0.653861517976293,-2.37637342069161,0.0174837589516427,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.361248972467344,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.0174837589516427,1.75736518975348,1.55381913213193,2.73062765398162
"Col6a6",158.026353475037,1.01130689197626,0.22320496723185,4.53084402429889,5.8748502247899e-06,0.000137231667513565,165.718840288573,1.05198124397678,0.349623258573468,3.00889948874991,0.00262195842374582,0.999946780809711,"Higher in young CD","Higher in old ID",TRUE,"Youth-like higher",1.04021959340259,"Partial/full youth-like shift",TRUE,TRUE,"Nominal in both",0.00262195842374582,2.58137419917565,1.01130689197626,2.61056151839604
"Apoa1",319.696890660483,-7.83421683294869,1.71339066854686,-4.57234708742342,4.82291168068322e-06,0.000116542827696259,396.848326532995,-2.05542233738064,1.14631218704534,-1.79307378967903,0.0729611259916776,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.262364749560679,"Partial/full youth-like shift",TRUE,FALSE,"Age contrast only",0.0729611259916776,1.13690847226463,2.05542233738064,2.33682706945003
"Cyp2c55",80.1488433708639,-5.65550341594387,1.74480812207167,-3.24133258230647,0.00118972293266694,0.00825958288307467,101.200538219379,-2.17113954684284,1.29232274814924,-1.68002888593594,0.092951695685008,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.383898547514269,"Partial/full youth-like shift",TRUE,FALSE,"Age contrast only",0.092951695685008,1.03174268313872,2.17113954684284,2.24005734152822
"Clca6",86.6478843525926,-4.57230689197143,1.09791514649954,-4.1645357626673,3.11986723475063e-05,0.000506138461391468,103.113238347721,-1.72344354887836,0.906336387196674,-1.90154954962034,0.0572300688436547,0.999946780809711,"Lower in young CD","Lower in old ID",TRUE,"Youth-like lower",0.376930855604766,"Partial/full youth-like shift",TRUE,FALSE,"Age contrast only",0.0572300688436547,1.24237573166629,1.72344354887836,2.14116444002329
